ref_id,txn_type,msg_id,mti,blr_category,response_code,payment_channel,cou_id,bou_id,bou_status,cust_mobile_num,tran_ref_id,blr_id,agent_id,last_upd_host,last_upd_port,last_upd_site_cd,crtn_ts,settlement_cycle_id,complaince_cd,complaince_reason,mandatory_cust_params,initiating_ai,txn_amount,on_us,payment_mode
REFHO7VB83D8MSUI7URSUQC8MJ9P9TTFG5AQYD,FETCH,MSGRTYC1EFSYBQMDKWTLSKUQHUISGABTTXZSRT,FETCH,IIFLOOOOONATD9,200,POS,MK01,AX91,FAILURE,9931240788,MK01TRNBEPA9KSP,IIFLOOOOONATD9,MK01AGT5487,127.0.0.1,9090,SITE1,2024-10-17 02:48:43,SCYCLE784,BPR005,Payment cannot be processed,,MK01,812.09,N,Net_Banking
REFG4YVLBSZOFU4MTENIFLZXZYJA5KONKDAF4Z,FETCH,MSGLVCJKWSYBYVPB3KYEA6BY6EV5KFSSPFPNDM,FETCH,Utility,000,Branch,PP01,BA01,SUCCESS,9995577389,PP01TRN0M3PXJ3P,MUTHOOOOONATBO,PP01AGT1458,127.0.0.1,9090,SITE0,2024-12-13 09:49:14,SCYCLE285,,,,PP01,953.39,Y,AEPS
REFJNTROIVJIWR1W62HNJQQR3TMR5V1NTDOZHN,FETCH,MSGQXQAXVCWMRX3OE4ZRSHMRN2OG4OPCULBEEF,FETCH,Credit Card,000,Branch,IC01,SB51,SUCCESS,9952972266,IC01TRNZUOE6O0G,SBIC00000NATDN,IC01AGT4320,127.0.0.1,9090,SITE1,2024-11-03 15:13:27,SCYCLE558,,,,IC01,552.93,Y,Cash
REFZRI6QTWZHDN0PEJOLITUKJ5ZAZTVHCM9JVF,FETCH,MSGTN7WDXKSSCT8FZLKIFGIOMCMF6FFNP0C50N,FETCH,Utility,000,POS,KV01,BA01,SUCCESS,9223944547,KV01TRN5MM8E3YR,MUTHOOOOONATBO,KV01AGT9641,127.0.0.1,9090,SITE0,2024-11-28 13:01:26,SCYCLE788,,,,KV01,881.86,N,Debit_Card
REFGDG2BXAVKKFRWQRYTATLWAEHUGCAUAAQAZ8,FETCH,MSGFY8MF7USX3XUXEN8Q8ZAWPS7FXD0JX2MPKL,FETCH,Loan,000,Agent,EU01,KM11,SUCCESS,9773415205,EU01TRNN67E3XOL,KOTA0000ONATED,EU01AGT4159,127.0.0.1,9090,SITE0,2024-10-15 21:26:07,SCYCLE588,,,,EU01,385.44,Y,Credit_Card
REF84GWBJUVL3DNFE0YELYPTNAHDFSHCDFDL8D,FETCH,MSGZL5TNA3JIJCTEYAV22JWEBVSC6NZL4QGU01,FETCH,Loan,000,ATM,KV01,KM11,SUCCESS,9415078492,KV01TRNPAIHOILX,KOTA0000ONATED,KV01AGT5891,127.0.0.1,9090,SITE0,2025-02-25 13:24:24,SCYCLE609,,,,KV01,221.69,N,Cash
REFDQC99RP7Z0SMCGHNYWCXMKZM0HH8YJZL1LK,FETCH,MSGAR7VHYVMVZ7A8RZKGGSMR0GK4WBKO2HUBCB,FETCH,Credit Card,200,Mobile,MK01,SB51,FAILURE,9613981767,MK01TRNDJ1NFIF8,SBIC00000NATDN,MK01AGT9710,127.0.0.1,9090,SITE1,2024-11-03 21:34:23,SCYCLE576,BPR005,Payment cannot be processed,,MK01,979.01,Y,Debit_Card
REFZHUOXHKVSAJGA2JXATBVTH04W7NNV4SWHZE,FETCH,MSGZFAJQQHFOQB70XEYOZEIGPLOLP1DMRWKESM,FETCH,Electicity,001,Mobile,MK01,I021,FAILURE,9250371622,MK01TRNNSWJEVH6,TNEB00000IND01,MK01AGT3920,127.0.0.1,9090,SITE1,2024-10-20 14:34:03,SCYCLE348,BOU004,Read Timeout to BOU,,MK01,129.24,N,Wallet
REFIWNGPFYM875CD9FJP2VXLKT8EN6SJZRY8ZX,FETCH,MSGDYNZ6DGJJGCAEBRZL8C233ELYCC1ZRPKWYZ,FETCH,Loan,200,Branch,PP01,KM11,FAILURE,9463420509,PP01TRN5YPBOVJ4,KOTA0000ONATED,PP01AGT7234,127.0.0.1,9090,SITE0,2024-09-09 03:45:38,SCYCLE438,BPR005,Payment cannot be processed,,PP01,595.77,Y,IMPS
REFFUFZVDITYJMIQBQ2IOPY66SXFIUUHHORKYT,FETCH,MSG1YSHLFTCJ84OH93HO4XIFAMWWMOKUJEQRNB,FETCH,Utility,200,POS,HD01,BA01,FAILURE,9177788532,HD01TRNH3A79Z0J,MUTHOOOOONATBO,HD01AGT6850,127.0.0.1,9090,SITE1,2025-01-26 11:35:34,SCYCLE521,BPR005,Payment cannot be processed,,HD01,484.87,N,Net_Banking
REFAWEUKTY6ZHYEZXR0RDAMTJWTHDBHVRVJBEM,FETCH,MSGTFS13BFADMJP3KI4VZP8N7EWTOOCK25HXGA,FETCH,Loan,000,POS,PP01,KM11,SUCCESS,9713835408,PP01TRNNZSQD36I,KOTA0000ONATED,PP01AGT4056,127.0.0.1,9090,SITE1,2024-12-05 20:46:32,SCYCLE625,,,,PP01,965.49,N,CBDC
REFKYQWYULXDI192TLOGGC8YWBJBACK2H7QR5B,FETCH,MSG1YZQNULDVGSW1FLQNYD6ZG4MA67PKRTYG4H,FETCH,Mobile,200,Branch,MK01,EU51,FAILURE,9680239449,MK01TRNXHIIZLNQ,VIDEOCONONATO1,MK01AGT2771,127.0.0.1,9090,SITE0,2024-09-13 06:52:20,SCYCLE679,BPR005,Payment cannot be processed,,MK01,223.72,N,Cash
REF53XJYRQJ3VB6O9Z3OVYDB9KAYTPUKVVKKKA,FETCH,MSGTGWYWBLJSDQ2YWODHQKQWI19JRQ5WYF4NE4,FETCH,Utility,001,ATM,JH01,BA01,FAILURE,9229576854,JH01TRNPF56ZFZW,MUTHOOOOONATBO,JH01AGT9409,127.0.0.1,9090,SITE1,2024-10-01 16:09:18,SCYCLE289,BOU003,Connect Timeout to BOU,,JH01,992.61,N,IMPS
REF59WUBPZKVYCEZRYBRO7MNHJPOVS3IPVI0KC,FETCH,MSGXVW0VKMX5QNGA7XIRY9KZVPVHZOVRWHKKPY,FETCH,Utility,000,ATM,IC01,BA01,SUCCESS,9308451618,IC01TRNAPUJJOEK,MUTHOOOOONATBO,IC01AGT2155,127.0.0.1,9090,SITE0,2024-09-27 13:54:33,SCYCLE352,,,,IC01,422.28,Y,Credit_Card
REFUKM0I3TPEROHBB87BTIP22R3UQ7SL0BORWN,FETCH,MSGBUPUBNOQ5R8U4BESVWWRB7ESTXZJTYRIFQR,FETCH,Electicity,000,Branch,HD01,I021,SUCCESS,9852316443,HD01TRNIPXKJ4ZY,TNEB00000IND01,HD01AGT8332,127.0.0.1,9090,SITE0,2024-10-19 01:34:53,SCYCLE814,,,,HD01,369.89,N,Cash
